Strain_ID	Portal_of_entry	Collection_ID	Bioproject	Biosample	Assembly	Phylogroup	ST_Warwick	Stc_Warwick	Subgroups*	O_serogroup	H-type
H1-005-0030-E-I	Urinary	2016-7	PRJEB35745	SAMEA6378283	GCA_902710735.2	D	69	STc69	D	O11	H4
H1-005-0031-M-R	Urinary	2016-7	PRJEB35745	SAMEA6378284	GCA_902710705.2	B2	998	STc141		O2	H6
H1-005-0032-C-D	Urinary	2016-7	PRJEB35745	SAMEA6378285	GCA_902710715.2	B2	131	STc131	B	O25b	H4
H1-005-0033-F-F	Urinary	2016-7	PRJEB35745	SAMEA6378286	GCA_902710745.2	B2	80	ST80		O7	H7
H1-005-0034-P-M	Digestive	2016-7	PRJEB35745	SAMEA6378287	GCA_902710695.2	B2	998	STc141		O2	H6
H1-005-0035-M-M	Urinary	2016-7	PRJEB35745	SAMEA6378288	GCA_902710725.2	B2	12	STc12		O4	H1
H1-005-0036-K-J	Digestive	2016-7	PRJEB35745	SAMEA6378289	GCA_902710755.2	B2	95	STc95	A	O1	H7
H1-005-0037-P-G	Urinary	2016-7	PRJEB35745	SAMEA6378290	GCA_902710805.2	B2	144	ST144		O16	H6
H1-005-0038-A-J	Digestive	2016-7	PRJEB35745	SAMEA6378291	GCA_902710775.2	B2	141	STc141		O2	H6
H1-005-0039-V-F	Digestive	2016-7	PRJEB35745	SAMEA6378292	GCA_902710785.2	B2	73	STc73	F	O6	H1
H1-005-0040-M-A	Digestive	2016-7	PRJEB35745	SAMEA6378293	GCA_902710765.2	B2	4219	ST4219		O175	H4
H1-005-0041-M-P	Digestive	2016-7	PRJEB35745	SAMEA6378294	GCA_902710795.2	B2	73	STc73	D	O2	H1
H1-005-0042-D-T	Urinary	2016-7	PRJEB35745	SAMEA6378295	GCA_902710855.2	B2	73	STc73	F	O6	H1
H1-005-0043-B-O	Urinary	2016-7	PRJEB35745	SAMEA6378296	GCA_902710915.2	B2	12	STc12		O4	H1
H1-005-0044-R-A	Urinary	2016-7	PRJEB35745	SAMEA6378297	GCA_902711255.2	B2	95	STc95	C	O25b	H4
H1-005-0045-G-C	Digestive	2016-7	PRJEB35745	SAMEA6378298	GCA_902710945.2	D	362	STc362		O7	H6
H1-005-0046-E-M	Multiple	2016-7	PRJEB35745	SAMEA6378299	GCA_902710925.2	B1	109	ST109		O8	H8
H1-005-0047-S-F	Digestive	2016-7	PRJEB35745	SAMEA6378300	GCA_902710865.2	B2	131	STc131	A	O153	H5
H1-005-0048-I-T	Urinary	2016-7	PRJEB35745	SAMEA6378301	GCA_902710815.2	E	543	ST543		O169	H9
H1-005-0049-L-J	Urinary	2016-7	PRJEB35745	SAMEA6378302	GCA_902710885.2	B2	73	STc73	C	O6	H1
H1-005-0050-D-A	Pulmonary	2016-7	PRJEB35745	SAMEA6378303	GCA_902710875.2	A	10	STc10	C	O101	H9
H1-005-0051-H-M	Urinary	2016-7	PRJEB35745	SAMEA6378304	GCA_902710935.2	B2	421	STc95	D	O1	H7
H1-005-0052-B-J	Digestive	2016-7	PRJEB35745	SAMEA6378305	GCA_902710835.2	B2	131	STc131	A	O16	H5
H1-005-0053-L-F	Urinary	2016-7	PRJEB35745	SAMEA6378306	GCA_902710825.2	D	69	STc69	D	O_not_found	H2
H1-005-0054-C-P	Urinary	2016-7	PRJEB35745	SAMEA6378307	GCA_902710845.2	B2	131	STc131	C2	O25b	H4
H1-005-0055-B-R	Digestive	2016-7	PRJEB35745	SAMEA6378308	GCA_902710905.2	B2	7882	ST7882		O25b	H5
H1-005-0056-W-P	Multiple	2016-7	PRJEB35745	SAMEA6378309	GCA_902710895.2	B2	131	STc131	C1	O25b	H4
H1-005-0057-S-L	Digestive	2016-7	PRJEB35745	SAMEA6378310	GCA_902711035.2	B2	131	STc131	C2	O25b	H4
H1-005-0058-M-A	Digestive	2016-7	PRJEB35745	SAMEA6378311	GCA_902710985.2	B1	58	STc58		Onovel22	H25
H1-005-0059-C-M	Digestive	2016-7	PRJEB35745	SAMEA6378312	GCA_902711025.2	B1	8109	ST8109		O8	H7
H1-005-0060-I-L	Urinary	2016-7	PRJEB35745	SAMEA6378313	GCA_902710975.2	F	354	ST354		O153	H34
H1-005-0061-L-J	Digestive	2016-7	PRJEB35745	SAMEA6378314	GCA_902711015.2	B2	73	STc73	F	O6	H1
H1-005-0062-N-S	Urinary	2016-7	PRJEB35745	SAMEA6378315	GCA_902711045.2	B1	602	ST602		Onovel4	H21
H1-005-0063-P-L	Urinary	2016-7	PRJEB35745	SAMEA6378316	GCA_902711055.2	B2	73	STc73	C	O6	H1
H1-005-0064-A-O	Digestive	2016-7	PRJEB35745	SAMEA6378317	GCA_902710955.2	B1	1125	ST1125		O139	H19
H1-005-0065-L-P	Urinary	2016-7	PRJEB35745	SAMEA6378318	GCA_902710995.2	C	88	STc88		O_not_found	H12
H1-005-0066-W-C	Urinary	2016-7	PRJEB35745	SAMEA6378319	GCA_902711065.1	A	10	STc10	B	O16	H4
H1-005-0067-A-O	Urinary	2016-7	PRJEB35745	SAMEA6378320	GCA_902711245.2	B2	1193	STc14		O75	H5
H1-005-0068-D-C	Urinary	2016-7	PRJEB35745	SAMEA6378321	GCA_902710965.2	B2	141	STc141		O2	H6
H1-005-0069-B-M	Digestive	2016-7	PRJEB35745	SAMEA6378322	GCA_902711005.2	B2	12	STc12		O4	H5
H1-006-0001-M-F	Multiple	2016-7	PRJEB35745	SAMEA6378323	GCA_902711235.2	B2	8114	STc73	E	O6	H1
H1-006-0002-F-L	Urinary	2016-7	PRJEB35745	SAMEA6378324	GCA_902711095.2	B2	131	STc131	B	O25b	H4
H1-006-0003-S-L	Digestive	2016-7	PRJEB35745	SAMEA6378325	GCA_902711215.2	C	783	ST783		O21	H9
H1-006-0004-F-M	Catheter	2016-7	PRJEB35745	SAMEA6378326	GCA_902711125.2	D	69	STc69	C	O15	H18
H1-006-0005-A-H	Urinary	2016-7	PRJEB35745	SAMEA6378327	GCA_902711155.2	B2	131	STc131	C2	O25b	H4
H1-006-0006-C-A	Urinary	2016-7	PRJEB35745	SAMEA6378328	GCA_902711145.2	B2	73	STc73	E	O6	H1
H1-006-0007-D-C	Urinary	2016-7	PRJEB35745	SAMEA6378329	GCA_902711105.2	D	69	STc69	D	O153	H18
H1-006-0008-K-G	Digestive	2016-7	PRJEB35745	SAMEA6378330	GCA_902711185.2	B2	73	STc73	E	O6	H1
H1-006-0009-P-C	Skin	2016-7	PRJEB35745	SAMEA6378331	GCA_902711225.2	B2	141	STc141		O2	H6
H1-006-0010-A-H	Urinary	2016-7	PRJEB35745	SAMEA6378332	GCA_902711085.2	D	69	STc69	D	O15	H18
H1-006-0011-L-G	Multiple	2016-7	PRJEB35745	SAMEA6378333	GCA_902711195.2	B2	550	STc14		O75	H5
H1-006-0012-T-R	Skin	2016-7	PRJEB35745	SAMEA6378334	GCA_902711165.2	B2	131	STc131	C2	O25b	H4
H1-006-0013-N-E	Digestive	2016-7	PRJEB35745	SAMEA6378335	GCA_902711395.2	B2	141	STc141		O2	H6
H1-006-0014-H-P	Urinary	2016-7	PRJEB35745	SAMEA6378336	GCA_902711455.2	A	93	STc93		O11	H52
H1-006-0015-M-S	Urinary	2016-7	PRJEB35745	SAMEA6378337	GCA_902711385.2	B2	8112	STc95	D	O45	H7
H1-006-0016-D-L	Urinary	2016-7	PRJEB35745	SAMEA6378338	GCA_902711335.2	B2	95	STc95	B	O18	H7
H1-006-0017-B-Y	Multiple	2016-7	PRJEB35745	SAMEA6378339	GCA_902711295.2	B2	12	STc12		O4	H5
H1-006-0018-G-M	Catheter	2016-7	PRJEB35745	SAMEA6378340	GCA_902711285.2	B1	2602	ST2602		O8	H16
H1-006-0019-C-M	Digestive	2016-7	PRJEB35745	SAMEA6378341	GCA_902711355.2	B2	127	STc127		O6	H31
H1-006-0020-C-M	Urinary	2016-7	PRJEB35745	SAMEA6378342	GCA_902711365.2	B2	12	STc12		O4	H1
H1-006-0021-S-B	Urinary	2016-7	PRJEB35745	SAMEA6378343	GCA_902711435.2	B1	380	ST380		O151	H9
H1-006-0022-L-R	Digestive	2016-7	PRJEB35745	SAMEA6378344	GCA_902711345.2	C	410	STc88		O8	H27
H1-006-0023-B-E	Digestive	2016-7	PRJEB35745	SAMEA6378345	GCA_902711315.2	B1	162	STc162		O9	H9
H1-006-0024-B-L	Urinary	2016-7	PRJEB35745	SAMEA6378346	GCA_902711415.2	B1	380	ST380		O151	H9
H1-006-0025-K-A	Urinary	2016-7	PRJEB35745	SAMEA6378347	GCA_902711405.2	B2	1193	STc14		O75	H5
H1-006-0026-L-L	Digestive	2016-7	PRJEB35745	SAMEA6378348	GCA_902711325.2	B2	95	STc95	E	O2	H7
H1-006-0027-H-J	Urinary	2016-7	PRJEB35745	SAMEA6378349	GCA_902711305.2	D	69	STc69	D	O117	H4
H1-006-0028-D-J	Urinary	2016-7	PRJEB35745	SAMEA6378350	GCA_902711425.2	B2	73	STc73	F	O18	H1
H1-006-0029-A-Y	Urinary	2016-7	PRJEB35745	SAMEA6378351	GCA_902711445.2	B2	131	STc131	C2	O25b	H4
H1-006-0030-J-R	Digestive	2016-7	PRJEB35745	SAMEA6378352	GCA_902711375.2	B2	136	ST136		O8	H14
H1-006-0031-R-H	Digestive	2016-7	PRJEB35745	SAMEA6378353	GCA_902711275.2	A	4774	ST4774		O21	H12
H1-006-0032-V-J	Urinary	2016-7	PRJEB35745	SAMEA6378354	GCA_902711465.2	D	69	STc69	D	O17	H18
H1-006-0033-P-A	Digestive	2016-7	PRJEB35745	SAMEA6378355	GCA_902711635.2	B2	73	STc73	C	O6	H1
H1-006-0034-T-Z	Digestive	2016-7	PRJEB35745	SAMEA6378356	GCA_902711525.2	B1	58	STc58		O9	H25
H1-006-0035-L-J	Catheter	2016-7	PRJEB35745	SAMEA6378357	GCA_902711565.2	B1	58	STc58		O9	H25
H1-006-0036-K-N	Urinary	2016-7	PRJEB35745	SAMEA6378358	GCA_902711625.2	B2	80	ST80		O7	H7
H1-007-0001-L-D	Multiple	2016-7	PRJEB35745	SAMEA6378359	GCA_902711535.2	B2	131	STc131	C2	O25b	H4
H1-007-0002-S-S	Urinary	2016-7	PRJEB35745	SAMEA6378360	GCA_902711475.2	B2	73	STc73	E	O6	H1
H1-007-0003-S-K	unknown	2016-7	PRJEB35745	SAMEA6378361	GCA_902711485.2	B2	73	STc73	B	O22	H1
H1-007-0004-G-N	Digestive	2016-7	PRJEB35745	SAMEA6378362	GCA_902711575.2	D	69	STc69	C	O17	H18
H1-007-0005-S-V	Digestive	2016-7	PRJEB35745	SAMEA6378363	GCA_902711585.2	A	4358	STc10	A	O45	H16
H1-007-0006-B-R	Multiple	2016-7	PRJEB35745	SAMEA6378364	GCA_902711605.2	B2	73	STc73	C	O_not_found	H1
H1-007-0007-D-J	Urinary	2016-7	PRJEB35745	SAMEA6378365	GCA_902711495.2	B2	131	STc131	B	O25b	H4
H1-007-0008-D-A	Urinary	2016-7	PRJEB35745	SAMEA6378366	GCA_902711615.2	D	69	STc69	C	O15	H18
H1-007-0009-T-R	Urinary	2016-7	PRJEB35745	SAMEA6378367	GCA_902711505.2	B2	95	STc95	E	O2	H4
H1-007-0010-M-S	Urinary	2016-7	PRJEB35745	SAMEA6378368	GCA_902711545.2	A	10	STc10	B	O12	H4
H1-007-0011-C-M	unknown	2016-7	PRJEB35745	SAMEA6378369	GCA_902711595.2	B2	73	STc73	F	O18	H1
H1-007-0012-A-V	Urinary	2016-7	PRJEB35745	SAMEA6378370	GCA_902711515.2	B2	95	STc95	E	O2	H4
H1-007-0013-G-S	Digestive	2016-7	PRJEB35745	SAMEA6378371	GCA_902711555.2	B1	1248	ST1248		Onovel5	H21
H1-007-0014-D-E	Digestive	2016-7	PRJEB35745	SAMEA6378372	GCA_902711775.2	B1	58	STc58		O8	H10
H1-007-0015-D-G	Urinary	2016-7	PRJEB35745	SAMEA6378373	GCA_902711805.2	C	23	STc88		O78	H4
H1-007-0016-Z-M	Digestive	2016-7	PRJEB35745	SAMEA6378374	GCA_902711665.2	A	8110	STc10	B	O11	H4
H1-007-0017-T-K	unknown	2016-7	PRJEB35745	SAMEA6378375	GCA_902711765.2	B2	73	STc73	F	O6	H1
H1-007-0018-T-J	Multiple	2016-7	PRJEB35745	SAMEA6378376	GCA_902711825.2	D	69	STc69	C	O15	H18
H1-007-0019-F-N	Multiple	2016-7	PRJEB35745	SAMEA6378377	GCA_902711685.2	B1	162	STc162		O55	H10
H1-007-0020-B-D	Urinary	2016-7	PRJEB35745	SAMEA6378378	GCA_902711675.2	B2	95	STc95	D	O1	H7
H1-007-0021-C-G	Urinary	2016-7	PRJEB35745	SAMEA6378379	GCA_902711815.2	B2	73	STc73	C	O6	H1
H1-007-0022-M-F	Urinary	2016-7	PRJEB35745	SAMEA6378380	GCA_902711705.2	B1	847	ST847		O108	H2
H1-007-0023-P-A	Urinary	2016-7	PRJEB35745	SAMEA6378381	GCA_902711755.2	B2	73	STc73	F	O6	H1
H1-007-0024-R-O	Digestive	2016-7	PRJEB35745	SAMEA6378382	GCA_902711795.2	B2	95	STc95	D	O1	H7
H1-007-0025-A-R	Urinary	2016-7	PRJEB35745	SAMEA6378383	GCA_902711715.2	A	8113	STc10	B	O151	H12
H1-007-0026-H-D	Digestive	2016-7	PRJEB35745	SAMEA6378384	GCA_902711645.2	A	227	STc10	B	O9	H10
H1-007-0027-K-T	Digestive	2016-7	PRJEB35745	SAMEA6378385	GCA_902711725.2	B2	131	STc131	C2	O25b	H4
H1-007-0028-C-T	Urinary	2016-7	PRJEB35745	SAMEA6378386	GCA_902711745.2	B2	73	STc73	E	O6	H1
H1-007-0029-B-L	Urinary	2016-7	PRJEB35745	SAMEA6378387	GCA_902711785.2	B2	127	STc127		O6	H31
H1-007-0030-R-J	Multiple	2016-7	PRJEB35745	SAMEA6378388	GCA_902711735.2	B2	95	STc95	D	O1	H7
H1-007-0031-G-I	Multiple	2016-7	PRJEB35745	SAMEA6378389	GCA_902711695.2	B2	14	STc14		O75	H5
H1-007-0032-B-M	Multiple	2016-7	PRJEB35745	SAMEA6378390	GCA_902711655.2	F	62	ST62		O7	H45
H1-007-0033-F-S	Urinary	2016-7	PRJEB35745	SAMEA6378391	GCA_902711855.2	A	10	STc10	B	O1	H21
H1-007-0034-F-P	Digestive	2016-7	PRJEB35745	SAMEA6378392	GCA_902711835.2	B1	4162	STc58		O8	H51
H1-007-0035-S-G	Multiple	2016-7	PRJEB35745	SAMEA6378393	GCA_902711845.2	F	62	ST62		O7	H45
H1-007-0036-L-A	Urinary	2016-7	PRJEB35745	SAMEA6378394	GCA_902711865.2	B2	73	STc73	F	O6	H1
H1-007-0037-H-D	Urinary	2016-7	PRJEB35745	SAMEA6378395	GCA_902711955.2	C	88	STc88		O104	H10
H1-007-0038-P-M	Digestive	2016-7	PRJEB35745	SAMEA6378396	GCA_902711905.2	D	38	STc38		O153	H30
H1-007-0039-H-A	Urinary	2016-7	PRJEB35745	SAMEA6378397	GCA_902711945.2	B2	372	STc372		O4	H31
H1-007-0040-B-Y	Multiple	2016-7	PRJEB35745	SAMEA6378398	GCA_902711895.2	B2	95	STc95	D	O2	H4
H1-007-0041-L-M	Urinary	2016-7	PRJEB35745	SAMEA6378399	GCA_902711875.2	B2	141	STc141		O2	H6
H1-007-0042-M-F	Urinary	2016-7	PRJEB35745	SAMEA6378400	GCA_902711935.2	E	57	ST57		O131	H4
H1-007-0043-A-J	Urinary	2016-7	PRJEB35745	SAMEA6378401	GCA_902711885.2	B2	73	STc73	E	O6	H1
H1-007-0044-L-B	Urinary	2016-7	PRJEB35745	SAMEA6378402	GCA_902711925.2	D	69	STc69	C	O15	H6
H1-007-0045-R-M	Skin	2016-7	PRJEB35745	SAMEA6378403	GCA_902711915.2	A	8107	ST8107		O75	H38
R1B13A10	unknown	2005	PRJEB39260	SAMEA7047123	GCA_903974525.1	D	69	STc69	D	O17	H18
R1B13A8	Urinary	2005	PRJEB39260	SAMEA7047124	GCA_903974545.1	B2	127	STc127		O6	H31
R1B13B10	Multiple	2005	PRJEB39260	SAMEA7047125	GCA_903974555.1	B1	847	ST847		O108	H2
R1B13B6	Digestive	2005	PRJEB39260	SAMEA7047126	GCA_903974565.1	A	710	ST710		O_not_found	H30
R1B13B7	Urinary	2005	PRJEB39260	SAMEA7047127	GCA_903974535.1	D	405	ST405		O102	H6
R1B13C3	Urinary	2005	PRJEB39260	SAMEA7047128	GCA_903974685.1	B2	131	STc131	C1	O25b	H4
R1B13C8	Urinary	2005	PRJEB39260	SAMEA7047129	GCA_903995625.1	B2	95	STc95	D	O1	H7
R1B13C9	Urinary	2005	PRJEB39260	SAMEA7047130	GCA_903974715.1	B2	95	STc95	D	O45	H7
R1B13D4	Digestive	2005	PRJEB39260	SAMEA7047131	GCA_903974605.1	B2	73	STc73	B	O25	H1
R1B13D6	unknown	2005	PRJEB39260	SAMEA7047132	GCA_903974625.1	F	62	ST62		O7	H45
R1B13E2	Urinary	2005	PRJEB39260	SAMEA7047133	GCA_903974615.1	B2	390	STc95	B	O18	H7
R1B13E3	Urinary	2005	PRJEB39260	SAMEA7047134	GCA_903974575.1	D	1394	STc393		O15	H1
R1B13E5	Urinary	2005	PRJEB39260	SAMEA7047135	GCA_903974635.1	B2	95	STc95	D	O1	H7
R1B13F1	Urinary	2005	PRJEB39260	SAMEA7047136	GCA_903974585.1	B2	95	STc95	D	O1	H7
R1B13F2	Urinary	2005	PRJEB39260	SAMEA7047137	GCA_903974645.1	B2	73	STc73	F	O6	H1
R1B13F4	unknown	2005	PRJEB39260	SAMEA7047138	GCA_903974595.1	C	652	ST652		O_not_found	H9
R1B13F7	Urinary	2005	PRJEB39260	SAMEA7047139	GCA_903974675.1	B2	141	STc141		O2	H6
R1B13G5	Urinary	2005	PRJEB39260	SAMEA7047140	GCA_903974655.1	B2	73	STc73	E	O6	H1
R1B13G8	Urinary	2005	PRJEB39260	SAMEA7047141	GCA_903974665.1	cladeIII	8084	ST8084		O10	H42
R1B13G9	Urinary	2005	PRJEB39260	SAMEA7047142	GCA_903974725.1	D	405	ST405		O2	H4
R1B13H1	Urinary	2005	PRJEB39260	SAMEA7047143	GCA_903974885.1	A	48	STc10	A	O8	H11
R1B13H4	Urinary	2005	PRJEB39260	SAMEA7047144	GCA_903974735.1	D	69	STc69	A	O17	H18
R1B13H6	Pulmonary	2005	PRJEB39260	SAMEA7047145	GCA_903974905.1	G	117	ST117		O33	H4
R1B13I5	Urinary	2005	PRJEB39260	SAMEA7047146	GCA_903974765.1	B2	73	STc73	E	O6	H1
R1B13I6	unknown	2005	PRJEB39260	SAMEA7047147	GCA_903974895.1	B2	131	STc131	C2	O25b	H4
R1B13I8	Urinary	2005	PRJEB39260	SAMEA7047148	GCA_903974695.1	B2	95	STc95	D	O45	H7
R1B13I9	Catheter	2005	PRJEB39260	SAMEA7047149	GCA_903974705.1	B2	131	STc131	C2	O25b	H4
R1B13J3	Skin	2005	PRJEB39260	SAMEA7047150	GCA_903974755.1	A	617	STc10	C	O101	H10
R1B15A1	Catheter	2005	PRJEB39260	SAMEA7047151	GCA_903974745.1	A	540	STc45		O11	H11
R1B15A2	Urinary	2005	PRJEB39260	SAMEA7047152	GCA_903974925.1	D	69	STc69	D	O17	H18
R1B15A3	Urinary	2005	PRJEB39260	SAMEA7047153	GCA_903974915.1	B2	95	STc95	D	O45	H7
R1B15B1	unknown	2005	PRJEB39260	SAMEA7047154	GCA_903974945.1	B2	131	STc131	C1	O25b	H4
R1B15C2	Urinary	2005	PRJEB39260	SAMEA7047155	GCA_903974935.1	B2	95	STc95	D	O1	H7
R1B15C3	Urinary	2005	PRJEB39260	SAMEA7047156	GCA_903974955.1	B2	73	STc73	C	O6	H1
R1B15D3	Catheter	2005	PRJEB39260	SAMEA7047157	GCA_903974965.1	C	88	STc88		O8	H19
R1B15E1	Urinary	2005	PRJEB39260	SAMEA7047158	GCA_903974995.1	B2	95	STc95	D	O1	H7
R1B15E2	unknown	2005	PRJEB39260	SAMEA7047159	GCA_903974985.1	B2	12	STc12		O4	H5
R1B15E3	Digestive	2005	PRJEB39260	SAMEA7047160	GCA_903975005.1	B2	95	STc95	E	O2	H4
R1B15F1	Urinary	2005	PRJEB39260	SAMEA7047161	GCA_903974975.1	D	69	STc69	A	O17	H18
R1B15G2	Urinary	2005	PRJEB39260	SAMEA7047162	GCA_903975015.1	D	405	ST405		O102	H6
R1B15H1	Digestive	2005	PRJEB39260	SAMEA7047163	GCA_903975035.1	A	1486	ST1486		O12	H20
R1B15H2	Digestive	2005	PRJEB39260	SAMEA7047164	GCA_903975025.1	B1	1079	ST1079		O6	H49
R1B15I1	Digestive	2005	PRJEB39260	SAMEA7047165	GCA_903975045.1	G	117	ST117		O114	H4
R1B15I2	Urinary	2005	PRJEB39260	SAMEA7047166	GCA_903974775.1	A	398	STc46		O8	H20
R1B15J1	Digestive	2005	PRJEB39260	SAMEA7047167	GCA_903975055.1	B1	1304	ST1304		O_not_found	H7
R1B1A1	Urinary	2005	PRJEB39260	SAMEA7047171	GCA_903975065.1	A	10	STc10	C	O101	H9
R1B1A11	unknown	2005	PRJEB39260	SAMEA7047168	GCA_903975075.1	B2	14	STc14		O75	H5
R1B1A13	Urinary	2005	PRJEB39260	SAMEA7047169	GCA_903975085.1	B2	73	STc73	D	O2	H1
R1B1A15	Urinary	2005	PRJEB39260	SAMEA7047170	GCA_903975095.1	B2	73	STc73	F	O6	H1
R1B1A3	Urinary	2005	PRJEB39260	SAMEA7047172	GCA_903974875.1	D	405	ST405		O2	H4
R1B1A5	Multiple	2005	PRJEB39260	SAMEA7047173	GCA_903974825.1	B2	131	STc131	C1	O25b	H4
R1B1A6	Urinary	2005	PRJEB39260	SAMEA7047174	GCA_903975115.1	B2	95	STc95	D	O1	H7
R1B1A7	Urinary	2005	PRJEB39260	SAMEA7047175	GCA_903974805.1	B2	73	STc73	C	O6	H1
R1B1A9	Digestive	2005	PRJEB39260	SAMEA7047176	GCA_903974855.1	F	648	STc648		O1	H42
R1B1B10	Urinary	2005	PRJEB39260	SAMEA7047177	GCA_903974865.1	B2	12	STc12		O4	H5
R1B1B11	Urinary	2005	PRJEB39260	SAMEA7047178	GCA_903975105.1	A	10	STc10	B	O86	H2
R1B1B12	Urinary	2005	PRJEB39260	SAMEA7047179	GCA_903975125.1	B2	95	STc95	E	O2	H4
R1B1B14	Urinary	2005	PRJEB39260	SAMEA7047180	GCA_903974835.1	C	1807	STc88		O78	H4
R1B1B2	Urinary	2005	PRJEB39260	SAMEA7047181	GCA_903974845.1	C	88	STc88		O8	H19
R1B1B4	unknown	2005	PRJEB39260	SAMEA7047182	GCA_903974815.1	B2	73	STc73	F	O18	H1
R1B1B5	unknown	2005	PRJEB39260	SAMEA7047183	GCA_903975145.1	B2	404	STc14		O75	H5
R1B1B6	Digestive	2005	PRJEB39260	SAMEA7047184	GCA_903974795.1	C	ND	STc88		O8	H17
R1B1B7	Digestive	2005	PRJEB39260	SAMEA7047185	GCA_903974785.1	B2	141	STc141		O2	H6
R1B1B8	Urinary	2005	PRJEB39260	SAMEA7047186	GCA_903975135.1	G	117	ST117		O161	H4
R1B1B9	Urinary	2005	PRJEB39260	SAMEA7047187	GCA_903975155.1	B1	58	STc58		O173	H5
R1B1C1	Multiple	2005	PRJEB39260	SAMEA7047191	GCA_903975175.1	C	23	STc88		O78	H4
R1B1C10	unknown	2005	PRJEB39260	SAMEA7047188	GCA_903975165.1	A	617	STc10	C	O101	H9
R1B1C13	Urinary	2005	PRJEB39260	SAMEA7047189	GCA_903975185.1	D	69	STc69	D	O15	H18
R1B1C15	Urinary	2005	PRJEB39260	SAMEA7047190	GCA_903975195.1	B2	404	STc14		O75	H5
R1B1C3	Gynecologic	2005	PRJEB39260	SAMEA7047192	GCA_903975225.1	B2	95	STc95	D	O1	H7
R1B1C5	Multiple	2005	PRJEB39260	SAMEA7047193	GCA_903975215.1	D	69	STc69	C	O17	H18
R1B1C6	Digestive	2005	PRJEB39260	SAMEA7047194	GCA_903975205.1	A	1122	ST1122		O99	H10
R1B1C7	Urinary	2005	PRJEB39260	SAMEA7047195	GCA_903975245.1	B2	95	STc95	D	O1	H7
R1B1C8	Urinary	2005	PRJEB39260	SAMEA7047196	GCA_903975235.1	D	69	STc69	D	O17	H18
R1B1C9	Digestive	2005	PRJEB39260	SAMEA7047197	GCA_903975255.1	D	10917	STc69	C	O17	H18
R1B1D1	Urinary	2005	PRJEB39260	SAMEA7047202	GCA_903975265.1	D	3729	STc38		O153	H14
R1B1D10	Digestive	2005	PRJEB39260	SAMEA7047198	GCA_903975295.1	G	117	ST117		O149	H4
R1B1D11	Urinary	2005	PRJEB39260	SAMEA7047199	GCA_903975275.1	D	69	STc69	D	O15	H18
R1B1D12	Digestive	2005	PRJEB39260	SAMEA7047200	GCA_903975285.1	B2	550	STc14		O75	H5
R1B1D14	Urinary	2005	PRJEB39260	SAMEA7047201	GCA_903975305.1	B1	155	STc58		O8	H51
R1B1D4	Urinary	2005	PRJEB39260	SAMEA7047203	GCA_903975315.1	B2	127	STc127		O6	H31
R1B1D6	Urinary	2005	PRJEB39260	SAMEA7047204	GCA_903975325.1	D	130	ST130		O17	H34
R1B1D7	Multiple	2005	PRJEB39260	SAMEA7047205	GCA_903975335.1	B2	73	STc73	C	O6	H1
R1B1E11	Urinary	2005	PRJEB39260	SAMEA7047206	GCA_903975355.1	D	69	STc69	D	O11	H18
R1B1E12	Urinary	2005	PRJEB39260	SAMEA7047207	GCA_903975345.1	D	69	STc69	C	O17	H18
R1B1E13	Catheter	2005	PRJEB39260	SAMEA7047208	GCA_903975365.1	B2	429	ST429		O83	H4
R1B1E14	Multiple	2005	PRJEB39260	SAMEA7047209	GCA_903975375.1	B2	104	STc73	A	O22	H1
R1B1E15	Urinary	2005	PRJEB39260	SAMEA7047210	GCA_903975385.1	B2	95	STc95	D	O1	H7
R1B1E2	Skin	2005	PRJEB39260	SAMEA7047211	GCA_903975395.1	A	373-like	ST373-like		O16	H19
R1B1E3	Urinary	2005	PRJEB39260	SAMEA7047212	GCA_903975435.1	C	88	STc88		O8	H17
R1B1E5	Multiple	2005	PRJEB39260	SAMEA7047213	GCA_903975405.1	B2	95	STc95	D	O45	H7
R1B1E7	Digestive	2005	PRJEB39260	SAMEA7047214	GCA_903975445.1	D	10916	ST10916		O1	H20
R1B1E8	Urinary	2005	PRJEB39260	SAMEA7047215	GCA_903975425.1	B2	73	STc73	D	O2	H1
R1B1E9	Urinary	2005	PRJEB39260	SAMEA7047216	GCA_903975415.1	D	69	STc69	D	O17	H18
R1B1F1	Urinary	2005	PRJEB39260	SAMEA7047219	GCA_903975455.1	B2	95	STc95	E	O2	H4
R1B1F10	Digestive	2005	PRJEB39260	SAMEA7047217	GCA_903975475.1	B2	12	STc12		O4	H5
R1B1F13	Urinary	2005	PRJEB39260	SAMEA7047218	GCA_903975495.1	C	23	STc88		O8	H9
R1B1F2	Urinary	2005	PRJEB39260	SAMEA7047220	GCA_903975485.1	B2	95	STc95	E	O2	H4
R1B1F4	Gynecologic	2005	PRJEB39260	SAMEA7047221	GCA_903975465.1	B2	95	STc95	D	O45	H7
R1B1F6	Urinary	2005	PRJEB39260	SAMEA7047222	GCA_903975525.1	B2	73	STc73	F	O6	H1
R1B1F8	Pulmonary	2005	PRJEB39260	SAMEA7047223	GCA_903975505.1	C	23	STc88		O78	H4
R1B1F9	Urinary	2005	PRJEB39260	SAMEA7047224	GCA_903975515.1	D	106	STc69	B	O17	H18
R1B1G10	Urinary	2005	PRJEB39260	SAMEA7047225	GCA_903975535.1	B2	95	STc95	D	O45	H7
